Timestamp,x,y,r,g,b,vc_bounce,vc_random,cc_bounce,cc_random
0,231.76534,176.27289,255.0,0.0,0.0,0.0,0.0,0.0,0.0
30,234.496,178.32089,255.0,0.0,0.0,0.0,0.0,0.0,0.0
60,237.22667,180.3689,255.0,0.0,0.0,0.0,0.0,0.0,0.0
90,239.95734,182.41689,255.0,0.0,0.0,0.0,0.0,0.0,0.0
120,242.688,184.46489,255.0,0.0,0.0,0.0,0.0,0.0,0.0
150,245.41867,186.5129,255.0,0.0,0.0,1.0,0.0,1.0,0.0
180,248.14934,188.56088,0.0,255.0,0.0,0.0,0.0,0.0,0.0
210,245.41867,190.60889,0.0,255.0,0.0,0.0,0.0,0.0,0.0
240,242.688,192.65689,0.0,255.0,0.0,0.0,0.0,0.0,0.0
270,239.95734,194.7049,0.0,255.0,0.0,0.0,0.0,0.0,0.0
300,237.22667,196.75288,0.0,255.0,0.0,0.0,0.0,0.0,0.0
330,234.496,198.80089,0.0,255.0,0.0,0.0,0.0,0.0,0.0
360,231.76534,200.84889,0.0,255.0,0.0,0.0,0.0,0.0,0.0
390,229.03467,202.8969,0.0,255.0,0.0,0.0,0.0,0.0,0.0
420,226.304,204.94489,0.0,255.0,0.0,0.0,0.0,0.0,0.0
450,223.57333,206.99289,0.0,255.0,0.0,0.0,0.0,0.0,1.0
480,220.84267,209.0409,0.0,0.0,255.0,0.0,0.0,0.0,0.0
510,218.112,211.08888,0.0,0.0,255.0,0.0,0.0,0.0,0.0
540,215.38133,213.13689,0.0,0.0,255.0,0.0,0.0,0.0,0.0
570,212.65067,215.18489,0.0,0.0,255.0,0.0,0.0,0.0,0.0
600,209.92,217.2329,0.0,0.0,255.0,0.0,0.0,0.0,0.0
630,207.18933,219.28088,0.0,0.0,255.0,0.0,0.0,0.0,0.0
660,204.45866,221.32889,0.0,0.0,255.0,0.0,0.0,0.0,0.0
690,201.728,223.37689,0.0,0.0,255.0,0.0,0.0,0.0,0.0
720,198.99733,225.4249,0.0,0.0,255.0,0.0,0.0,0.0,0.0
750,196.26666,227.47289,0.0,0.0,255.0,0.0,0.0,0.0,0.0
780,193.536,229.52089,0.0,0.0,255.0,0.0,0.0,0.0,0.0
810,190.80533,231.5689,0.0,0.0,255.0,0.0,0.0,0.0,0.0
840,188.07466,233.61688,0.0,0.0,255.0,0.0,0.0,0.0,0.0
