Timestamp,x,y,r,g,b,vc_bounce,vc_random,cc_bounce,cc_random
0,86.424,36.956,0.0,0.0,255.0,0.0,0.0,0.0,0.0
50,89.112,39.452,0.0,0.0,255.0,0.0,0.0,0.0,0.0
100,91.8,41.948,0.0,0.0,255.0,0.0,0.0,0.0,0.0
150,94.488,44.444,0.0,0.0,255.0,0.0,0.0,0.0,0.0
200,97.176,46.94,0.0,0.0,255.0,0.0,0.0,0.0,0.0
250,99.864,49.436,0.0,0.0,255.0,0.0,0.0,0.0,0.0
300,102.552,51.932,0.0,0.0,255.0,0.0,0.0,0.0,0.0
350,105.24,54.428,0.0,0.0,255.0,0.0,0.0,0.0,0.0
400,107.928,56.924,0.0,0.0,255.0,0.0,0.0,0.0,0.0
450,110.616,59.42,0.0,0.0,255.0,0.0,0.0,0.0,0.0
500,113.304,61.916,0.0,0.0,255.0,0.0,0.0,0.0,0.0
550,115.992,64.412,0.0,0.0,255.0,0.0,0.0,0.0,0.0
600,118.68,66.908,0.0,0.0,255.0,0.0,0.0,0.0,0.0
650,121.368,69.404,0.0,0.0,255.0,0.0,0.0,0.0,0.0
700,124.056,71.9,0.0,0.0,255.0,0.0,0.0,0.0,0.0
750,126.744,74.396,0.0,0.0,255.0,0.0,0.0,0.0,0.0
800,129.432,76.892,0.0,0.0,255.0,0.0,0.0,0.0,0.0
850,132.12,79.388,0.0,0.0,255.0,0.0,0.0,0.0,0.0
900,134.808,81.884,0.0,0.0,255.0,0.0,0.0,0.0,0.0
950,137.496,84.38,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1000,140.184,86.876,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1050,142.872,89.372,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1100,145.56,91.868,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1150,148.248,94.364,255.0,0.0,0.0,0.0,0.0,0.0,1.0
1200,150.936,96.86,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,153.624,99.356,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,156.312,101.852,255.0,0.0,0.0,0.0,0.0,0.0,0.0
