Timestamp,x,y,r,g,b
0,101.204,77.108,127.0,127.0,127.0
50,103.892,79.604,127.0,127.0,127.0
100,106.58,82.1,127.0,127.0,127.0
150,109.268,84.596,127.0,127.0,127.0
200,111.956,87.092,127.0,127.0,127.0
250,114.644,89.588,127.0,127.0,127.0
300,117.332,92.084,127.0,127.0,127.0
350,120.02,94.58,127.0,127.0,127.0
400,122.708,97.076,127.0,127.0,127.0
450,125.396,99.572,127.0,127.0,127.0
500,122.708,102.068,127.0,127.0,127.0
550,120.02,104.564,127.0,127.0,127.0
600,117.332,107.06,127.0,127.0,127.0
650,114.644,109.556,127.0,127.0,127.0
700,111.956,112.052,127.0,127.0,127.0
750,109.268,114.548,127.0,127.0,127.0
800,106.58,117.044,127.0,127.0,127.0
850,103.892,119.54,127.0,127.0,127.0
900,101.204,122.036,127.0,127.0,127.0
950,98.516,124.532,127.0,127.0,127.0
1000,95.828,127.028,127.0,127.0,127.0
1050,93.14,129.524,127.0,127.0,127.0
1100,90.452,132.02,127.0,127.0,127.0
1150,87.764,134.516,127.0,127.0,127.0
1200,85.076,137.012,127.0,127.0,127.0
1250,82.388,139.508,127.0,127.0,127.0
1300,79.7,142.004,127.0,127.0,127.0
1350,77.012,144.5,127.0,127.0,127.0
1400,74.324,146.996,0.0,255.0,0.0
1450,71.636,149.492,0.0,255.0,0.0
1500,74.324,151.988,0.0,255.0,0.0
1550,77.012,154.484,127.0,127.0,127.0
1600,79.7,156.98,127.0,127.0,127.0
1650,82.388,159.476,127.0,127.0,127.0
1700,85.076,161.972,127.0,127.0,127.0
1750,87.764,164.468,127.0,127.0,127.0
1800,90.452,166.964,127.0,127.0,127.0
1850,93.14,169.46,127.0,127.0,127.0
1900,95.828,171.956,127.0,127.0,127.0
1950,98.516,174.452,127.0,127.0,127.0
2000,101.204,176.948,127.0,127.0,127.0
2050,103.892,179.444,127.0,127.0,127.0
2100,106.58,181.94,127.0,127.0,127.0
2150,109.268,184.436,127.0,127.0,127.0
2200,111.956,186.932,127.0,127.0,127.0
2250,114.644,189.428,127.0,127.0,127.0
2300,117.332,191.924,127.0,127.0,127.0
2350,120.02,194.42,127.0,127.0,127.0
2400,122.708,196.916,127.0,127.0,127.0
2450,125.396,199.412,127.0,127.0,127.0
2500,128.084,201.908,127.0,127.0,127.0
2550,130.772,204.404,127.0,127.0,127.0
2600,133.46,206.9,127.0,127.0,127.0
2650,136.148,209.396,127.0,127.0,127.0
2700,138.836,211.892,127.0,127.0,127.0
2750,141.524,214.388,127.0,127.0,127.0
2800,144.212,216.884,127.0,127.0,127.0
2850,146.9,219.38,127.0,127.0,127.0
2900,149.588,221.876,127.0,127.0,127.0
2950,152.276,224.372,127.0,127.0,127.0
3000,154.964,226.868,127.0,127.0,127.0
3050,157.652,229.364,127.0,127.0,127.0
3100,160.34,231.86,127.0,127.0,127.0
3150,163.028,234.356,127.0,127.0,127.0
3200,165.716,236.852,127.0,127.0,127.0
3250,168.404,239.348,127.0,127.0,127.0
3300,171.092,241.844,127.0,127.0,127.0
3350,173.78,244.34,127.0,127.0,127.0
3400,176.468,246.836,127.0,127.0,127.0
3450,179.156,244.34,127.0,127.0,127.0
3500,181.844,241.844,0.0,0.0,255.0
3550,184.532,239.348,0.0,0.0,255.0
3600,187.22,236.852,0.0,0.0,255.0
3650,189.908,234.356,0.0,0.0,255.0
3700,192.596,231.86,0.0,0.0,255.0
3750,195.284,229.364,0.0,0.0,255.0
3800,197.972,226.868,0.0,0.0,255.0
3850,200.66,224.372,0.0,0.0,255.0
3900,203.348,221.876,0.0,0.0,255.0
3950,200.66,219.38,0.0,0.0,255.0
4000,197.972,216.884,0.0,0.0,255.0
4050,195.284,214.388,0.0,0.0,255.0
4100,192.596,211.892,0.0,0.0,255.0
4150,189.908,209.396,0.0,0.0,255.0
4200,187.22,206.9,0.0,0.0,255.0
4250,184.532,204.404,0.0,0.0,255.0
4300,181.844,201.908,0.0,0.0,255.0
4350,179.156,199.412,127.0,127.0,127.0
4400,176.468,196.916,127.0,127.0,127.0
4450,173.78,194.42,127.0,127.0,127.0
4500,171.092,191.924,127.0,127.0,127.0
4550,168.404,189.428,127.0,127.0,127.0
4600,165.716,186.932,127.0,127.0,127.0
4650,163.028,184.436,127.0,127.0,127.0
4700,160.34,181.94,127.0,127.0,127.0
4750,157.652,179.444,127.0,127.0,127.0
4800,154.964,176.948,127.0,127.0,127.0
4850,152.276,174.452,127.0,127.0,127.0
4900,149.588,171.956,127.0,127.0,127.0
4950,146.9,174.452,127.0,127.0,127.0
5000,144.212,176.948,127.0,127.0,127.0
5050,141.524,179.444,127.0,127.0,127.0
5100,138.836,181.94,127.0,127.0,127.0
5150,136.148,184.436,127.0,127.0,127.0
5200,133.46,186.932,127.0,127.0,127.0
5250,130.772,189.428,127.0,127.0,127.0
5300,128.084,191.924,127.0,127.0,127.0
5350,125.396,194.42,127.0,127.0,127.0
5400,122.708,196.916,127.0,127.0,127.0
5450,120.02,199.412,127.0,127.0,127.0
5500,117.332,201.908,127.0,127.0,127.0
5550,114.644,204.404,127.0,127.0,127.0
5600,111.956,206.9,127.0,127.0,127.0
5650,109.268,209.396,127.0,127.0,127.0
5700,106.58,211.892,127.0,127.0,127.0
5750,103.892,214.388,127.0,127.0,127.0
5800,101.204,216.884,127.0,127.0,127.0
5850,98.516,219.38,127.0,127.0,127.0
5900,95.828,221.876,127.0,127.0,127.0
5950,93.14,219.38,127.0,127.0,127.0
6000,90.452,216.884,127.0,127.0,127.0
6050,87.764,214.388,127.0,127.0,127.0
6100,85.076,211.892,127.0,127.0,127.0
6150,82.388,209.396,127.0,127.0,127.0
6200,79.7,206.9,127.0,127.0,127.0
6250,77.012,204.404,127.0,127.0,127.0
6300,74.324,201.908,0.0,255.0,0.0
6350,71.636,199.412,0.0,255.0,0.0
6400,68.948,196.916,0.0,255.0,0.0
6450,66.26,194.42,0.0,255.0,0.0
6500,63.572,191.924,0.0,255.0,0.0
6550,60.884,189.428,0.0,255.0,0.0
6600,58.196,186.932,0.0,255.0,0.0
6650,55.508,184.436,0.0,255.0,0.0
6700,52.82,181.94,0.0,255.0,0.0
6750,50.132,179.444,0.0,255.0,0.0
6800,47.444,176.948,0.0,255.0,0.0
6850,44.756,174.452,0.0,255.0,0.0
6900,42.068,171.956,0.0,255.0,0.0
6950,39.38,169.46,0.0,255.0,0.0
7000,36.692,166.964,0.0,255.0,0.0
7050,34.004,164.468,0.0,255.0,0.0
7100,31.316,161.972,0.0,255.0,0.0
7150,28.628,159.476,0.0,255.0,0.0
7200,25.94,156.98,0.0,255.0,0.0
7250,23.252,154.484,0.0,255.0,0.0
7300,20.564,151.988,0.0,255.0,0.0
7350,17.876,149.492,0.0,255.0,0.0
7400,15.188,146.996,0.0,255.0,0.0
7450,12.5,144.5,0.0,255.0,0.0
