Timestamp,x,y,r,g,b
0,49.70826,153.3124,255.0,0.0,0.0
40,52.90826,150.1124,255.0,0.0,0.0
80,56.10826,146.9124,255.0,0.0,0.0
120,59.30826,143.7124,255.0,0.0,0.0
160,62.508263,140.51239,255.0,0.0,0.0
200,65.70826,137.3124,255.0,0.0,0.0
240,68.908264,134.1124,255.0,0.0,0.0
280,72.10826,130.9124,255.0,0.0,0.0
320,75.30826,127.712395,0.0,255.0,0.0
360,78.50826,124.5124,0.0,0.0,255.0
400,81.70826,121.31239,0.0,0.0,255.0
440,84.908264,118.1124,0.0,0.0,255.0
480,88.10826,114.9124,0.0,0.0,255.0
520,91.30826,111.712395,0.0,0.0,255.0
560,94.50826,108.5124,255.0,0.0,0.0
600,97.70826,105.31239,255.0,0.0,0.0
640,100.908264,102.1124,255.0,0.0,0.0
680,104.10826,98.9124,255.0,0.0,0.0
720,107.30826,95.712395,255.0,0.0,0.0
760,110.50826,92.5124,255.0,0.0,0.0
800,113.70826,89.31239,255.0,0.0,0.0
840,116.908264,86.1124,255.0,0.0,0.0
880,120.10826,82.9124,255.0,0.0,0.0
920,123.30826,79.712395,255.0,0.0,0.0
960,126.50826,76.5124,255.0,0.0,0.0
1000,129.70827,73.31239,0.0,255.0,0.0
1040,132.90826,70.1124,0.0,255.0,0.0
1080,136.10826,66.9124,0.0,255.0,0.0
1120,139.30826,63.712395,0.0,255.0,0.0
1160,142.50826,60.512398,0.0,255.0,0.0
1200,145.70827,57.312397,0.0,255.0,0.0
1240,148.90826,54.112396,0.0,0.0,255.0
1280,152.10826,50.912395,0.0,0.0,255.0
1320,155.30826,47.712395,0.0,0.0,255.0
1360,158.50826,44.512398,0.0,0.0,255.0
1400,161.70827,41.312397,0.0,0.0,255.0
1440,164.90826,38.112396,0.0,0.0,255.0
1480,168.10826,34.912395,0.0,0.0,255.0
1520,171.30826,31.712397,0.0,0.0,255.0
1560,174.50826,28.512396,0.0,0.0,255.0
1600,177.70827,25.312397,0.0,0.0,255.0
1640,180.90826,22.112396,0.0,0.0,255.0
1680,184.10826,18.912397,0.0,0.0,255.0
1720,187.30826,15.712397,0.0,0.0,255.0
1760,190.50826,12.512397,0.0,0.0,255.0
1800,193.70827,9.312397,0.0,0.0,255.0
1840,196.90826,12.512397,255.0,0.0,0.0
1880,200.10826,15.712397,255.0,0.0,0.0
1920,203.30826,18.912397,255.0,0.0,0.0
1960,206.50826,22.112396,255.0,0.0,0.0
2000,209.70827,25.312397,0.0,255.0,0.0
2040,212.90826,28.512396,0.0,255.0,0.0
2080,216.10826,31.712397,0.0,255.0,0.0
2120,219.30826,34.912395,0.0,255.0,0.0
2160,222.50826,38.112396,0.0,255.0,0.0
2200,225.70827,41.312397,0.0,255.0,0.0
2240,228.90826,44.512398,0.0,255.0,0.0
2280,232.10826,47.712395,0.0,255.0,0.0
2320,235.30826,50.912395,0.0,255.0,0.0
2360,238.50826,54.112396,0.0,255.0,0.0
2400,241.70827,57.312397,0.0,255.0,0.0
2440,244.90826,60.512398,0.0,255.0,0.0
2480,248.10826,63.712395,0.0,255.0,0.0
2520,244.90826,66.9124,0.0,0.0,255.0
2560,241.70827,70.1124,0.0,0.0,255.0
2600,238.50826,73.31239,0.0,0.0,255.0
2640,235.30826,76.5124,0.0,0.0,255.0
2680,232.10826,79.712395,255.0,0.0,0.0
2720,228.90826,82.9124,255.0,0.0,0.0
2760,225.70827,86.1124,255.0,0.0,0.0
2800,222.50826,89.31239,255.0,0.0,0.0
2840,219.30826,92.5124,255.0,0.0,0.0
2880,216.10826,95.712395,255.0,0.0,0.0
2920,212.90826,98.9124,255.0,0.0,0.0
2960,209.70827,102.1124,0.0,255.0,0.0
3000,206.50826,105.31239,0.0,255.0,0.0
3040,203.30826,108.5124,0.0,255.0,0.0
3080,200.10826,111.712395,0.0,255.0,0.0
3120,196.90826,114.9124,0.0,255.0,0.0
3160,193.70827,118.1124,0.0,255.0,0.0
3200,190.50826,121.31239,0.0,255.0,0.0
3240,187.30826,124.5124,0.0,255.0,0.0
3280,184.10826,127.712395,0.0,255.0,0.0
3320,180.90826,130.9124,0.0,255.0,0.0
3360,177.70827,134.1124,0.0,255.0,0.0
3400,174.50826,137.3124,0.0,255.0,0.0
3440,171.30826,140.51239,0.0,255.0,0.0
3480,168.10826,143.7124,0.0,255.0,0.0
3520,164.90826,146.9124,0.0,255.0,0.0
3560,161.70827,150.1124,0.0,255.0,0.0
3600,158.50826,153.3124,0.0,255.0,0.0
3640,155.30826,156.51239,0.0,255.0,0.0
3680,152.10826,159.7124,0.0,255.0,0.0
3720,148.90826,162.9124,0.0,255.0,0.0
3760,145.70827,166.1124,0.0,255.0,0.0
3800,142.50826,169.3124,0.0,255.0,0.0
3840,139.30826,172.51239,0.0,255.0,0.0
3880,136.10826,175.7124,0.0,0.0,255.0
3920,132.90826,178.9124,0.0,0.0,255.0
3960,129.70827,182.1124,0.0,0.0,255.0
