,idx,trial,idx_time,side_left_right,side_top_bottom,idx_velocity_y,length,Block,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,Dir Base,Dir Block,Dir Video,Path Video,Path Color Changes,Path Parameters,idx_position
0,109,straight,4.0,0.0,0.0,1.0,245,1,green,149.33333,50.182716,27.306666666666665,-34.13333333333333,0.045,0.5,0.0,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_1,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_1/video_1_green.mp4,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_1/video_1_color_change.csv,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_1/video_1_parameters.csv,
1,34,bounce,,0.0,1.0,1.0,177,1,red,138.66667,222.0,27.306666666666665,-34.13333333333333,0.01,0.5,0.0,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_2,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_2/video_2_red.mp4,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_2/video_2_color_change.csv,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_2/video_2_parameters.csv,6.0
2,13,catch,,,,,174,1,green,219.5,164.0,-27.306666666666665,-20.48,0.01,0.1,0.0,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_3,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_3/video_3_green.mp4,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_3/video_3_color_change.csv,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_3/video_3_parameters.csv,
3,95,bounce,,0.0,1.0,1.0,183,1,red,149.33333,208.66667,27.306666666666665,-34.13333333333333,0.045,0.9,0.0,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_4,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_4/video_4_red.mp4,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_4/video_4_color_change.csv,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_4/video_4_parameters.csv,11.0
4,77,straight,2.0,1.0,0.0,1.0,184,1,green,128.0,126.77333,-27.306666666666665,-34.13333333333333,0.045,0.9,0.0,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_5,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_5/video_5_green.mp4,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_5/video_5_color_change.csv,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_5/video_5_parameters.csv,
5,36,straight,1.0,1.0,1.0,1.0,175,1,red,138.66667,220.09087,-27.306666666666665,34.13333333333333,0.01,0.1,0.0,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_6,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_6/video_6_red.mp4,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_6/video_6_color_change.csv,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_6/video_6_parameters.csv,
6,84,bounce,,0.0,0.0,1.0,228,1,green,149.33333,74.0,27.306666666666665,34.13333333333333,0.01,0.1,0.0,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_7,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_7/video_7_green.mp4,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_7/video_7_color_change.csv,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_7/video_7_parameters.csv,14.0
7,85,straight,0.0,0.0,0.0,0.0,210,1,red,106.666664,63.14548,27.306666666666665,-20.48,0.045,0.5,0.0,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_8,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_8/video_8_red.mp4,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_8/video_8_color_change.csv,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_8/video_8_parameters.csv,
8,50,straight,0.0,1.0,1.0,0.0,178,1,green,149.33333,128.13629,-27.306666666666665,20.48,0.045,0.9,0.0,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_9,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_9/video_9_green.mp4,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_9/video_9_color_change.csv,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_9/video_9_parameters.csv,
9,16,straight,1.0,0.0,1.0,0.0,179,1,blue,117.333336,159.41808,27.306666666666665,20.48,0.01,0.5,0.0,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_10,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_10/video_10_blue.mp4,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_10/video_10_color_change.csv,/home/apra/Work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240405_175356/block_1/video_10/video_10_parameters.csv,
