,idx,trial,idx_position,side_left_right,side_top_bottom,idx_velocity_y,length,Block,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,Dir Base,Dir Block,Dir Video,Path Video,Path Color Changes,Path Parameters,idx_time
0,8,bounce,8.0,0.0,1.0,0.0,233,1,green,138.66667,231.6,27.306666666666665,-20.48,0.01,0.9,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_1/video_1_green.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_1/video_1_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_1/video_1_parameters.csv,
1,27,bounce,13.0,1.0,0.0,0.0,231,1,red,106.666664,40.4,-27.306666666666665,20.48,0.045,0.1,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_2,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_2/video_2_red.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_2/video_2_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_2/video_2_parameters.csv,
2,37,straight,,0.0,0.0,0.0,222,1,green,128.0,53.436443,27.306666666666665,-20.48,0.045,0.5,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_3,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_3/video_3_green.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_3/video_3_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_3/video_3_parameters.csv,2.0
3,110,bounce,12.0,0.0,1.0,1.0,209,1,blue,149.33333,195.33333,27.306666666666665,-34.13333333333333,0.01,0.9,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_4/video_4_blue.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_4/video_4_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_4/video_4_parameters.csv,
4,29,straight,,1.0,1.0,0.0,195,1,blue,106.666664,152.95407,-27.306666666666665,20.48,0.045,0.9,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_5,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_5/video_5_blue.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_5/video_5_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_5/video_5_parameters.csv,4.0
5,109,bounce,11.0,1.0,1.0,1.0,193,1,green,106.666664,208.66667,-27.306666666666665,-34.13333333333333,0.045,0.5,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_6,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_6/video_6_green.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_6/video_6_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_6/video_6_parameters.csv,
6,75,straight,,0.0,0.0,1.0,261,1,blue,106.666664,20.0,27.306666666666665,-34.13333333333333,0.01,0.1,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_7,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_7/video_7_blue.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_7/video_7_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_7/video_7_parameters.csv,0.0
7,10,catch,,,,,188,1,red,86.0,236.0,-27.306666666666665,-34.13333333333333,0.045,0.9,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_8,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_8/video_8_red.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_8/video_8_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_8/video_8_parameters.csv,
8,24,bounce,10.0,0.0,0.0,1.0,195,1,blue,149.33333,47.333332,27.306666666666665,34.13333333333333,0.01,0.1,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_9,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_9/video_9_blue.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_9/video_9_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_9/video_9_parameters.csv,
9,81,straight,,0.0,1.0,1.0,238,1,red,117.333336,156.45432,27.306666666666665,34.13333333333333,0.045,0.1,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_10,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_10/video_10_red.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_10/video_10_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_113427/block_1/video_10/video_10_parameters.csv,1.0
