,idx,trial,idx_time,side_left_right,side_top_bottom,idx_velocity_y,length,Block,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,Dir Base,Dir Block,Dir Video,Path Video,Path Color Changes,Path Parameters,idx_position
0,83,straight,3.0,0.0,1.0,1.0,246,1,blue,138.66667,173.45383,27.306666666666665,34.13333333333333,0.01,0.9,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_1/video_1_blue.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_1/video_1_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_1/video_1_parameters.csv,
1,8,catch,,,,,217,1,red,53.0,116.0,-27.306666666666665,-20.48,0.01,0.9,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_2,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_2/video_2_red.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_2/video_2_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_2/video_2_parameters.csv,
2,52,bounce,,0.0,0.0,0.0,223,1,red,149.33333,32.4,27.306666666666665,20.48,0.01,0.5,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_3,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_3/video_3_red.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_3/video_3_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_3/video_3_parameters.csv,10.0
3,32,bounce,,1.0,0.0,0.0,248,1,red,128.0,16.4,-27.306666666666665,20.48,0.01,0.9,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_4/video_4_red.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_4/video_4_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_4/video_4_parameters.csv,4.0
4,69,straight,4.0,0.0,1.0,0.0,281,1,green,149.33333,129.22667,27.306666666666665,20.48,0.045,0.1,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_5,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_5/video_5_green.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_5/video_5_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_5/video_5_parameters.csv,
5,113,straight,3.0,0.0,0.0,1.0,229,1,green,138.66667,51.273087,27.306666666666665,-34.13333333333333,0.045,0.9,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_6,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_6/video_6_green.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_6/video_6_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_6/video_6_parameters.csv,
6,79,bounce,,0.0,1.0,0.0,261,1,red,138.66667,223.6,27.306666666666665,-20.48,0.045,0.5,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_7,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_7/video_7_red.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_7/video_7_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_7/video_7_parameters.csv,9.0
7,93,straight,3.0,0.0,1.0,0.0,309,1,blue,138.66667,164.54518,27.306666666666665,20.48,0.045,0.1,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_8,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_8/video_8_blue.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_8/video_8_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_8/video_8_parameters.csv,
8,89,bounce,,0.0,1.0,1.0,243,1,green,128.0,235.33333,27.306666666666665,-34.13333333333333,0.045,0.9,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_9,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_9/video_9_green.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_9/video_9_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_9/video_9_parameters.csv,4.0
9,52,straight,2.0,1.0,0.0,0.0,218,1,blue,128.0,153.74577,-27.306666666666665,-20.48,0.01,0.5,0.0,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_10,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_10/video_10_blue.mp4,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_10/video_10_color_change.csv,/home/apra/work/human-mdcpd-honeycomb/public/assets/videos/hbb_dataset_240409_121323/block_1/video_10/video_10_parameters.csv,
