Video ID,idx_trial,trial,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_x_position,idx_y_position,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,idx_position,last_visible_color,color_entered,color_next,color_after_next,correct_response,Block,Block Video Index,PCCNVC_effective,PCCOVC_effective,PVC_effective,Bounces,Random Bounces,Color Change Bounce,Color Change Random,Hazard Rate,Contingency
0,0,Catch,-1,-1,-1,-1,-1,-1,200,red,58.25,63.833332,-27.306666666666665,-34.13333333333333,0.0575,0.5,0.0,-1,1,1,2,3,1,6,6,0.015384615384615385,0.4,0.0,5,0,2,3,High,Medium
1,1,Catch,-1,-1,-1,-1,-1,-1,200,green,228.25,243.5,-27.306666666666665,-20.48,0.00575,0.025,0.0,-1,2,2,3,1,2,18,2,0.005128205128205128,0.0,0.0,5,0,0,1,Low,Low
2,2,Catch,-1,-1,-1,-1,-1,-1,200,blue,12.5,166.5,-27.306666666666665,-20.48,0.00575,0.975,0.0,-1,3,3,1,2,3,18,3,0.00510204081632653,1.0,0.0,4,0,4,1,Low,High
3,3,Catch,-1,-1,-1,-1,-1,-1,200,blue,182.5,140.83333,-27.306666666666665,-34.13333333333333,0.0575,0.975,0.0,-1,3,3,1,2,3,7,6,0.02564102564102564,1.0,0.0,5,0,5,5,High,High
4,4,Catch,-1,-1,-1,-1,-1,-1,200,red,43.0,115.166664,-27.306666666666665,-20.48,0.0575,0.5,0.0,-1,1,1,2,3,1,24,3,0.030612244897959183,0.5,0.0,4,0,2,6,High,Medium
5,5,Catch,-1,-1,-1,-1,-1,-1,200,green,213.0,217.83333,-27.306666666666665,-34.13333333333333,0.00575,0.025,0.0,-1,2,2,3,1,2,8,10,0.005154639175257732,0.0,0.0,6,0,0,1,Low,Low
6,6,Catch,-1,-1,-1,-1,-1,-1,200,red,27.75,38.166668,-27.306666666666665,-20.48,0.0575,0.5,0.0,-1,1,1,2,3,1,16,2,0.025380710659898477,0.33333334,0.0,3,0,1,5,High,Medium
7,7,Catch,-1,-1,-1,-1,-1,-1,200,blue,197.75,89.5,-27.306666666666665,-34.13333333333333,0.00575,0.025,0.0,-1,3,3,1,2,3,2,7,0.010309278350515464,0.16666667,0.0,6,0,1,2,Low,Low
8,8,Catch,-1,-1,-1,-1,-1,-1,200,green,73.5,192.16667,-27.306666666666665,-34.13333333333333,0.00575,0.975,0.0,-1,2,2,3,1,2,13,4,0.010256410256410256,0.8,0.0,5,0,4,2,Low,High
9,9,Catch,-1,-1,-1,-1,-1,-1,200,blue,243.5,12.5,-27.306666666666665,-20.48,0.0575,0.975,0.0,-1,3,3,1,2,3,11,3,0.02040816326530612,0.75,0.0,4,0,3,4,High,High
10,10,Catch,-1,-1,-1,-1,-1,-1,200,green,27.75,243.5,-27.306666666666665,-34.13333333333333,0.0575,0.5,0.0,-1,2,2,3,1,2,10,7,0.010256410256410256,0.8,0.0,5,0,4,2,High,Medium
11,11,Catch,-1,-1,-1,-1,-1,-1,200,red,197.75,89.5,-27.306666666666665,-20.48,0.00575,0.025,0.0,-1,1,1,2,3,1,5,6,0.005128205128205128,0.0,0.0,5,0,0,1,Low,Low
12,12,Catch,-1,-1,-1,-1,-1,-1,200,blue,58.25,217.83333,-27.306666666666665,-20.48,0.00575,0.975,0.0,-1,3,3,1,2,3,9,2,0.00510204081632653,1.0,0.0,4,0,4,1,Low,High
13,13,Catch,-1,-1,-1,-1,-1,-1,200,green,228.25,192.16667,-27.306666666666665,-34.13333333333333,0.0575,0.5,0.0,-1,2,2,3,1,2,6,1,0.015463917525773196,0.6666667,0.0,6,0,4,3,High,Medium
