Timestamp,x,y,r,g,b,vc_bounce,vc_random,cc_bounce,cc_random
0,29.696,67.393776,255.0,0.0,0.0,0.0,0.0,0.0,0.0
30,32.426666,65.34578,255.0,0.0,0.0,0.0,0.0,0.0,0.0
60,35.157333,63.29778,255.0,0.0,0.0,0.0,0.0,0.0,0.0
90,37.888,61.24978,255.0,0.0,0.0,0.0,0.0,0.0,0.0
120,40.618668,59.20178,255.0,0.0,0.0,0.0,0.0,0.0,0.0
150,43.349335,57.153778,255.0,0.0,0.0,0.0,0.0,0.0,0.0
180,46.08,55.105778,255.0,0.0,0.0,0.0,0.0,0.0,1.0
210,48.810665,53.057777,0.0,255.0,0.0,0.0,0.0,0.0,0.0
240,51.541332,51.009777,0.0,255.0,0.0,0.0,0.0,0.0,0.0
270,54.272,48.961777,0.0,255.0,0.0,0.0,0.0,0.0,0.0
300,57.002666,46.913776,0.0,255.0,0.0,0.0,0.0,0.0,0.0
330,59.733334,44.865776,0.0,255.0,0.0,0.0,0.0,0.0,0.0
360,62.464,42.81778,0.0,255.0,0.0,0.0,0.0,0.0,0.0
390,65.194664,40.76978,0.0,255.0,0.0,0.0,0.0,0.0,0.0
420,67.92533,38.72178,0.0,255.0,0.0,0.0,0.0,0.0,0.0
450,70.656,36.67378,0.0,255.0,0.0,0.0,0.0,0.0,0.0
480,73.386665,34.62578,0.0,255.0,0.0,0.0,0.0,0.0,0.0
510,76.11733,32.577778,0.0,255.0,0.0,0.0,0.0,0.0,0.0
540,78.848,30.529778,0.0,255.0,0.0,0.0,0.0,0.0,0.0
570,81.57867,28.481777,0.0,255.0,0.0,0.0,0.0,0.0,0.0
600,84.30933,26.433777,0.0,255.0,0.0,0.0,0.0,0.0,0.0
630,87.04,24.385778,0.0,255.0,0.0,0.0,0.0,0.0,0.0
660,89.77067,22.337778,0.0,255.0,0.0,0.0,0.0,0.0,0.0
690,92.501335,20.289778,0.0,255.0,0.0,0.0,0.0,0.0,0.0
720,95.232,18.241777,0.0,255.0,0.0,0.0,0.0,0.0,0.0
750,97.96267,16.193777,0.0,255.0,0.0,0.0,0.0,0.0,0.0
780,100.69334,14.145778,0.0,255.0,0.0,0.0,0.0,0.0,0.0
810,103.424,12.097777,0.0,255.0,0.0,0.0,0.0,0.0,0.0
840,106.15466,10.049778,0.0,255.0,0.0,1.0,0.0,0.0,0.0
870,108.88533,8.001778,0.0,255.0,0.0,0.0,0.0,0.0,0.0
900,111.616,10.049778,0.0,255.0,0.0,0.0,0.0,0.0,0.0
930,114.346664,12.097777,0.0,255.0,0.0,0.0,0.0,0.0,0.0
960,117.07733,14.145778,0.0,255.0,0.0,0.0,0.0,0.0,0.0
990,119.808,16.193777,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1020,122.538666,18.241777,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1050,125.26933,20.289778,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1080,128.0,22.337778,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1110,130.73067,24.385778,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1140,133.46133,26.433777,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1170,136.192,28.481777,0.0,255.0,0.0,0.0,0.0,0.0,0.0
1200,138.92267,30.529778,0.0,255.0,0.0,0.0,0.0,0.0,1.0
1230,141.65334,32.577778,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1260,144.384,34.62578,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1290,147.11467,36.67378,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1320,149.84534,38.72178,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1350,152.576,40.76978,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1380,155.30667,42.81778,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1410,158.03734,44.865776,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1440,160.768,46.913776,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1470,163.49867,48.961777,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1500,166.22934,51.009777,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1530,168.96,53.057777,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1560,171.69067,55.105778,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1590,174.42134,57.153778,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1620,177.152,59.20178,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1650,179.88266,61.24978,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1680,182.61333,63.29778,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1710,185.344,65.34578,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1740,188.07466,67.393776,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1770,190.80533,69.44178,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1800,193.536,71.48978,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1830,196.26666,73.53778,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1860,198.99733,75.58578,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1890,201.728,77.63378,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1920,204.45866,79.68178,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1950,207.18933,81.729774,0.0,0.0,255.0,0.0,0.0,0.0,0.0
1980,209.92,83.77778,0.0,0.0,255.0,0.0,0.0,0.0,0.0
2010,212.65067,85.825775,0.0,0.0,255.0,0.0,0.0,0.0,0.0
2040,215.38133,87.87378,0.0,0.0,255.0,0.0,0.0,0.0,0.0
2070,218.112,89.921776,0.0,0.0,255.0,0.0,0.0,0.0,0.0
