Video ID,idx_trial,trial,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,length_ms,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_position,idx_x_position,bounce_x_y,idx_pos_y_bounce,idx_y_position,last_visible_color_idx,last_visible_color,color_entered,color_next,color_after_next,correct_response,Dataset Block,Dataset Block Video,Bounces,Random Bounces,Color Change Bounce,Color Change Random,PCCNVC_effective,PCCOVC_effective,PVC_effective,Bounces observable,Random Bounces observable,Color Change Bounce observable,Color Change Random observable,PCCNVC_effective_observable,PCCOVC_effective_observable,PVC_effective_observable,Hazard Rate,Contingency,cwl
0,0,Catch,150,green,43.0,45.5,-26.880000000000003,-24.96,0.015,0.125,0.075,7500,-1,,,-1,-1,,,,,149,2,2,3,1,2,5,14,2,2,1,2,0.0136986301369863,0.25,0.013513513513513514,1,1,1,2,0.031746031746031744,0.5,0.015625,Low,Low,-0.98630136
1,1,Catch,150,blue,213.0,144.5,-26.880000000000003,-28.8,0.05,0.5,0.075,7500,-1,,,-1,-1,,,,,149,3,3,1,2,3,1,5,4,1,1,4,0.027586206896551724,0.2,0.00684931506849315,0,0,0,2,0.05128205128205128,0.0,0.0,High,Medium,-0.9724138
2,2,Catch,150,red,73.5,243.5,-26.880000000000003,-24.96,0.05,0.875,0.075,7500,-1,,,-1,-1,,,,,149,1,1,2,3,1,3,6,3,1,3,4,0.0273972602739726,0.75,0.006802721088435374,0,0,0,2,0.041666666666666664,0.0,0.0,High,High,-0.9726027
3,3,Catch,150,blue,243.5,12.5,-26.880000000000003,-28.8,0.015,0.125,0.075,7500,-1,,,-1,-1,,,,,149,3,3,1,2,3,1,14,3,3,0,1,0.006944444444444444,0.0,0.02040816326530612,1,0,0,1,0.043478260869565216,0.0,0.0,Low,Low,-0.9930556
4,4,Catch,150,red,12.5,111.5,-26.880000000000003,-28.8,0.015,0.5,0.075,7500,-1,,,-1,-1,,,,,149,1,1,2,3,1,3,14,2,3,2,1,0.006896551724137931,0.4,0.02027027027027027,1,0,0,1,0.022222222222222223,0.0,0.0,Low,Medium,-0.99310344
5,5,Catch,150,green,182.5,210.5,-26.880000000000003,-24.96,0.05,0.875,0.075,7500,-1,,,-1,-1,,,,,149,2,2,3,1,2,4,14,3,5,7,3,0.02112676056338028,0.875,0.034013605442176874,0,3,3,0,0.0,1.0,0.10344827586206896,High,High,-0.97887325
6,6,Catch,150,blue,73.5,177.5,-26.880000000000003,-28.8,0.05,0.125,0.075,7500,-1,,,-1,-1,,,,,149,3,3,1,2,3,2,12,1,6,1,4,0.027972027972027972,0.14285714285714285,0.040268456375838924,1,1,0,1,0.034482758620689655,0.0,0.03333333333333333,High,Low,-0.97202796
7,7,Catch,150,green,243.5,78.5,-26.880000000000003,-24.96,0.015,0.5,0.075,7500,-1,,,-1,-1,,,,,149,2,2,3,1,2,8,16,3,2,2,0,0.0,0.4,0.013605442176870748,0,1,1,0,0.0,1.0,0.021739130434782608,Low,Medium,-1.0
8,8,Catch,150,red,43.0,12.5,-26.880000000000003,-24.96,0.015,0.875,0.075,7500,-1,,,-1,-1,,,,,149,1,1,2,3,1,10,4,2,3,5,1,0.006896551724137931,1.0,0.02027027027027027,0,2,2,0,0.0,1.0,0.041666666666666664,Low,High,-0.99310344
9,9,Catch,150,blue,213.0,45.5,-26.880000000000003,-28.8,0.05,0.125,0.075,7500,-1,,,-1,-1,,,,,149,3,3,1,2,3,9,6,3,3,1,4,0.027777777777777776,0.16666666666666666,0.02040816326530612,0,2,0,1,0.02857142857142857,0.0,0.05405405405405406,High,Low,-0.9722222
