Video ID,idx_trial,trial,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,length_ms,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_position,idx_x_position,bounce_x_y,idx_pos_y_bounce,idx_y_position,last_visible_color_idx,last_visible_color,color_entered,color_next,color_after_next,correct_response,Dataset Block,Dataset Block Video,Bounces,Random Bounces,Color Change Bounce,Color Change Random,PCCNVC_effective,PCCOVC_effective,PVC_effective,Bounces observable,Random Bounces observable,Color Change Bounce observable,Color Change Random observable,PCCNVC_effective_observable,PCCOVC_effective_observable,PVC_effective_observable,Hazard Rate,Contingency,cwl
0,0,Catch,150,red,73.5,144.5,-26.880000000000003,-28.8,0.00875,0.1,0.09825,7500,-1,,,-1,-1,,,,,149,1,1,2,3,1,10,9,4,1,1,0,0.0,0.2,0.00684931506849315,1,1,1,0,0.0,0.5,0.01639344262295082,Low,Low,-1.0
1,1,Catch,150,blue,243.5,177.5,-26.880000000000003,-24.96,0.065,0.5,0.09825,7500,-1,,,-1,-1,,,,,149,3,3,1,2,3,1,11,2,3,2,4,0.027586206896551724,0.4,0.02027027027027027,1,1,1,2,0.02631578947368421,0.5,0.012987012987012988,High,Medium,-0.9724138
2,2,Catch,150,green,12.5,12.5,-26.880000000000003,-24.96,0.065,0.9,0.09825,7500,-1,,,-1,-1,,,,,149,2,2,3,1,2,5,15,3,2,3,1,0.006896551724137931,0.6,0.013605442176870748,1,1,2,0,0.0,1.0,0.027777777777777776,High,High,-0.99310344
3,3,Catch,150,green,182.5,243.5,-26.880000000000003,-28.8,0.00875,0.1,0.09825,7500,-1,,,-1,-1,,,,,149,2,2,3,1,2,4,12,4,2,0,1,0.006944444444444444,0.0,0.0136986301369863,1,2,0,0,0.0,0.0,0.0392156862745098,Low,Low,-0.9930556
4,4,Catch,150,blue,43.0,78.5,-26.880000000000003,-24.96,0.00875,0.5,0.09825,7500,-1,,,-1,-1,,,,,149,3,3,1,2,3,2,15,1,5,4,1,0.006944444444444444,0.6666666666666666,0.03355704697986577,0,4,3,1,0.012195121951219513,0.75,0.046511627906976744,Low,Medium,-0.9930556
5,5,Catch,150,red,213.0,210.5,-26.880000000000003,-28.8,0.065,0.9,0.09825,7500,-1,,,-1,-1,,,,,149,1,1,2,3,1,1,1,3,3,5,3,0.020833333333333332,0.8333333333333334,0.02040816326530612,1,1,2,1,0.014492753623188406,1.0,0.014285714285714285,High,High,-0.9791667
6,6,Catch,150,blue,73.5,45.5,-26.880000000000003,-24.96,0.065,0.1,0.09825,7500,-1,,,-1,-1,,,,,149,3,3,1,2,3,7,13,1,7,0,5,0.035211267605633804,0.0,0.04697986577181208,0,5,0,2,0.017857142857142856,0.0,0.042735042735042736,High,Low,-0.96478873
7,7,Catch,150,green,243.5,111.5,-26.880000000000003,-28.8,0.00875,0.5,0.09825,7500,-1,,,-1,-1,,,,,149,2,2,3,1,2,9,6,4,2,3,0,0.0,0.5,0.0136986301369863,1,1,1,0,0.0,0.5,0.015384615384615385,Low,Medium,-1.0
8,8,Catch,150,red,43.0,78.5,-26.880000000000003,-24.96,0.00875,0.9,0.09825,7500,-1,,,-1,-1,,,,,149,1,1,2,3,1,7,3,2,2,4,0,0.0,1.0,0.013513513513513514,0,1,1,0,0.0,1.0,0.013157894736842105,Low,High,-1.0
9,9,Catch,150,red,213.0,210.5,-26.880000000000003,-28.8,0.065,0.1,0.09825,7500,-1,,,-1,-1,,,,,149,1,1,2,3,1,7,11,2,3,1,3,0.020689655172413793,0.2,0.02027027027027027,1,2,0,2,0.03278688524590164,0.0,0.031746031746031744,High,Low,-0.97931033
