Timestamp,x,y,r,g,b
0,40.552,82.34,0.0,0.0,255.0
50,43.24,85.22,0.0,0.0,255.0
100,45.928,88.1,0.0,0.0,255.0
150,48.616,90.98,0.0,0.0,255.0
200,51.304,93.86,0.0,0.0,255.0
250,53.992,96.74,0.0,0.0,255.0
300,56.68,99.62,0.0,0.0,255.0
350,59.368,102.5,0.0,0.0,255.0
400,62.056,105.38,0.0,0.0,255.0
450,64.744,108.26,0.0,0.0,255.0
500,67.432,105.38,0.0,0.0,255.0
550,70.12,102.5,0.0,0.0,255.0
600,72.808,99.62,0.0,0.0,255.0
650,75.496,96.74,0.0,0.0,255.0
700,78.184,93.86,127.0,127.0,127.0
750,80.872,90.98,127.0,127.0,127.0
800,83.56,88.1,127.0,127.0,127.0
850,86.248,85.22,127.0,127.0,127.0
900,88.936,82.34,127.0,127.0,127.0
950,91.624,79.46,127.0,127.0,127.0
1000,94.312,76.58,127.0,127.0,127.0
1050,97.0,73.7,127.0,127.0,127.0
1100,99.688,70.82,127.0,127.0,127.0
1150,102.376,67.94,127.0,127.0,127.0
1200,105.064,65.06,127.0,127.0,127.0
1250,107.752,62.18,127.0,127.0,127.0
1300,110.44,59.3,127.0,127.0,127.0
1350,113.128,56.42,127.0,127.0,127.0
1400,115.816,53.54,127.0,127.0,127.0
1450,118.504,50.66,127.0,127.0,127.0
1500,121.192,47.78,127.0,127.0,127.0
1550,123.88,44.9,127.0,127.0,127.0
1600,126.568,42.02,127.0,127.0,127.0
1650,129.256,39.14,127.0,127.0,127.0
1700,131.944,36.26,127.0,127.0,127.0
1750,134.632,33.38,127.0,127.0,127.0
1800,137.32,30.5,127.0,127.0,127.0
1850,140.008,27.62,127.0,127.0,127.0
1900,142.696,24.74,127.0,127.0,127.0
1950,145.384,21.86,127.0,127.0,127.0
2000,148.072,18.98,127.0,127.0,127.0
2050,150.76,16.1,127.0,127.0,127.0
2100,153.448,13.22,127.0,127.0,127.0
2150,156.136,10.34,127.0,127.0,127.0
2200,158.824,7.46,127.0,127.0,127.0
2250,161.512,10.34,127.0,127.0,127.0
2300,164.2,13.22,127.0,127.0,127.0
2350,166.888,16.1,127.0,127.0,127.0
2400,169.576,18.98,127.0,127.0,127.0
2450,172.264,21.86,127.0,127.0,127.0
2500,174.952,24.74,127.0,127.0,127.0
2550,177.64,27.62,127.0,127.0,127.0
2600,180.328,30.5,255.0,0.0,0.0
2650,183.016,33.38,255.0,0.0,0.0
2700,185.704,36.26,255.0,0.0,0.0
2750,188.392,39.14,255.0,0.0,0.0
