Video ID,idx_trial,trial,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,length_ms,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_position,idx_x_position,last_visible_color_idx,last_visible_color,color_entered,color_next,color_after_next,correct_response,Dataset Block,Dataset Block Video,Bounces,Random Bounces,Color Change Bounce,Color Change Random,PCCNVC_effective,PCCOVC_effective,PVC_effective,Bounces observable,Random Bounces observable,Color Change Bounce observable,Color Change Random observable,PCCNVC_effective_observable,PCCOVC_effective_observable,PVC_effective_observable,Hazard Rate,Contingency,cwl
0,0,Catch,150,blue,43.0,78.5,-28.16,-25.6,0.00975,0.1,0.0,7500,-1,,,-1,-1,,149,3,3,1,2,3,3,10,2,0,0,1,0.006756756756756757,0.0,0.0,0,0,0,1,0.013513513513513514,0.0,0.0,Low,Low,-0.9932432
1,1,Catch,150,green,213.0,210.5,-28.16,-30.72,0.095,0.5,0.0,7500,-1,,,-1,-1,,149,2,2,3,1,2,10,14,3,0,1,5,0.034013605442176874,0.3333333333333333,0.0,0,0,0,3,0.046153846153846156,0.0,0.0,High,Medium,-0.9659864
2,2,Catch,150,red,73.5,144.5,-28.16,-30.72,0.095,0.9,0.0,7500,-1,,,-1,-1,,149,1,1,2,3,1,10,2,4,0,4,3,0.02054794520547945,1.0,0.0,2,0,2,1,0.013888888888888888,1.0,0.0,High,High,-0.9794521
3,3,Catch,150,blue,243.5,45.5,-28.16,-25.6,0.00975,0.1,0.0,7500,-1,,,-1,-1,,149,3,3,1,2,3,4,2,3,0,0,1,0.006802721088435374,0.0,0.0,0,0,0,0,0.0,0.0,0.0,Low,Low,-0.99319726
4,4,Catch,150,red,12.5,177.5,-28.16,-25.6,0.00975,0.5,0.0,7500,-1,,,-1,-1,,149,1,1,2,3,1,2,11,3,0,1,0,0.0,0.3333333333333333,0.0,2,0,1,0,0.0,0.5,0.0,Low,Medium,-1.0
5,5,Catch,150,green,182.5,12.5,-28.16,-30.72,0.095,0.9,0.0,7500,-1,,,-1,-1,,149,2,2,3,1,2,2,2,3,0,3,3,0.02040816326530612,1.0,0.0,1,0,1,1,0.018867924528301886,1.0,0.0,High,High,-0.97959185
6,6,Catch,150,red,73.5,111.5,-28.16,-30.72,0.095,0.1,0.0,7500,-1,,,-1,-1,,149,1,1,2,3,1,2,3,4,0,0,5,0.03424657534246575,0.0,0.0,1,0,0,1,0.0136986301369863,0.0,0.0,High,Low,-0.96575344
7,7,Catch,150,blue,243.5,243.5,-28.16,-25.6,0.00975,0.5,0.0,7500,-1,,,-1,-1,,149,3,3,1,2,3,4,11,3,0,1,1,0.006802721088435374,0.3333333333333333,0.0,0,0,0,1,0.013513513513513514,0.0,0.0,Low,Medium,-0.99319726
8,8,Catch,150,green,12.5,144.5,-28.16,-25.6,0.00975,0.9,0.0,7500,-1,,,-1,-1,,149,2,2,3,1,2,9,10,3,0,3,0,0.0,1.0,0.0,2,0,2,0,0.0,1.0,0.0,Low,High,-1.0
9,9,Catch,150,red,182.5,45.5,-28.16,-30.72,0.095,0.1,0.0,7500,-1,,,-1,-1,,149,1,1,2,3,1,4,6,4,0,1,5,0.03424657534246575,0.25,0.0,2,0,0,2,0.038461538461538464,0.0,0.0,High,Low,-0.96575344
