Video ID,idx_trial,trial,length,Final Color,Final X Position,Final Y Position,Final X Velocity,Final Y Velocity,PCCNVC,PCCOVC,PVC,length_ms,idx_time,side_left_right,side_top_bottom,idx_velocity_y,idx_position,idx_x_position,last_visible_color_idx,last_visible_color_idx_cent,last_visible_color_idx_inner,last_visible_color,color_entered,color_next,color_after_next,Dataset Block,Dataset Block Video,Bounces,Random Bounces,Color Change Bounce,Color Change Random,PCCNVC_effective,PCCNVC_effective_ps,PCCOVC_effective,PVC_effective,PVC_effective_ps,Bounces observable,Random Bounces observable,Color Change Bounce observable,Color Change Random observable,PCCNVC_effective_observable,PCCNVC_effective_observable_ps,PCCOVC_effective_observable,PVC_effective_observable,PVC_effective_observable_ps,Hazard Rate,Contingency,correct_response,PCCNVC_adjusted,cwl
0,0,Catch,160,red,12.5,78.5,-28.16,-30.72,0.0185,0.1,0.0,8000,-1,,,-1,-1,,159,159,159,1,1,2,3,6,18,3,0,0,1,0.006289308176100629,0.12578616352201258,0.0,0.0,0.0,1,0,0,1,0.009900990099009901,0.19801980198019803,0.0,0.0,0.0,Low,Low,1,0.011564624769186516,-0.9937107
1,1,Catch,160,green,182.5,45.5,-28.16,-25.6,0.0775,0.5,0.0,8000,-1,,,-1,-1,,159,159,159,2,2,3,1,6,14,3,0,1,6,0.03773584905660377,0.7547169811320755,0.3333333333333333,0.0,0.0,2,0,1,5,0.047619047619047616,0.9523809523809523,0.5,0.0,0.0,High,Medium,2,0.034582452229360496,-0.9622642
2,2,Catch,160,blue,43.0,243.5,-28.16,-25.6,0.0775,0.9,0.0,8000,-1,,,-1,-1,,159,159,159,3,3,1,2,8,17,3,0,3,4,0.025157232704402517,0.5031446540880503,1.0,0.0,0.0,3,0,3,2,0.020202020202020204,0.40404040404040403,1.0,0.0,0.0,High,High,3,0.034582452229360496,-0.9748428
3,3,Catch,160,red,213.0,144.5,-28.16,-30.72,0.0185,0.1,0.0,8000,-1,,,-1,-1,,159,159,159,1,1,2,3,4,12,4,0,0,5,0.031446540880503145,0.6289308176100629,0.0,0.0,0.0,4,0,0,3,0.030303030303030304,0.6060606060606061,0.0,0.0,0.0,Low,Low,1,0.011564624769186516,-0.9685535
4,4,Catch,160,blue,73.5,177.5,-28.16,-30.72,0.0185,0.5,0.0,8000,-1,,,-1,-1,,159,159,159,3,3,1,2,1,3,4,0,2,0,0.0,0.0,0.5,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,Low,Medium,3,0.011564624769186516,-1.0
5,5,Catch,160,green,243.5,210.5,-28.16,-25.6,0.0775,0.9,0.0,8000,-1,,,-1,-1,,159,159,159,2,2,3,1,2,1,3,0,1,5,0.031446540880503145,0.6289308176100629,0.3333333333333333,0.0,0.0,3,0,1,3,0.0297029702970297,0.594059405940594,0.3333333333333333,0.0,0.0,High,High,2,0.034582452229360496,-0.9685535
6,6,Catch,160,red,73.5,12.5,-28.16,-25.6,0.0775,0.1,0.0,8000,-1,,,-1,-1,,159,159,159,1,1,2,3,4,9,3,0,0,6,0.03773584905660377,0.7547169811320755,0.0,0.0,0.0,2,0,0,4,0.04040404040404041,0.8080808080808081,0.0,0.0,0.0,High,Low,1,0.034582452229360496,-0.9622642
7,7,Catch,160,green,243.5,111.5,-28.16,-30.72,0.0185,0.5,0.0,8000,-1,,,-1,-1,,159,159,159,2,2,3,1,7,3,3,0,0,3,0.018867924528301886,0.37735849056603776,0.0,0.0,0.0,1,0,0,1,0.009900990099009901,0.19801980198019803,0.0,0.0,0.0,Low,Medium,2,0.011564624769186516,-0.9811321
8,8,Catch,160,blue,43.0,177.5,-28.16,-30.72,0.0185,0.9,0.0,8000,-1,,,-1,-1,,159,159,159,3,3,1,2,1,2,4,0,3,0,0.0,0.0,0.75,0.0,0.0,3,0,3,0,0.0,0.0,1.0,0.0,0.0,Low,High,3,0.011564624769186516,-1.0
9,9,Catch,160,red,213.0,144.5,-28.16,-25.6,0.0775,0.1,0.0,8000,-1,,,-1,-1,,159,159,159,1,1,2,3,4,20,4,0,1,6,0.03773584905660377,0.7547169811320755,0.25,0.0,0.0,3,0,1,2,0.020202020202020204,0.40404040404040403,0.3333333333333333,0.0,0.0,High,Low,1,0.034582452229360496,-0.9622642
10,10,Catch,160,green,12.5,78.5,-28.16,-25.6,0.0775,0.5,0.0,8000,-1,,,-1,-1,,159,159,159,2,2,3,1,8,4,3,0,3,5,0.031446540880503145,0.6289308176100629,1.0,0.0,0.0,3,0,3,2,0.019801980198019802,0.39603960396039606,1.0,0.0,0.0,High,Medium,2,0.034582452229360496,-0.9685535
11,0,Straight,207,blue,159.0,236.0,28.16,30.72,0.0185,0.1,0.0,10350,2,0.0,1.0,1,-1,,176,180,183,3,3,1,2,2,5,4,0,0,1,0.005681818181818182,0.11363636363636363,0.0,0.0,0.0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,Low,Low,3,0.011564624769186516,-0.87251544
12,1,Straight,193,green,128.0,62.701298,-28.16,-25.6,0.0775,0.5,0.0,9650,1,1.0,0.0,0,-1,,173,177,180,2,2,3,1,5,9,4,0,0,6,0.03468208092485549,0.6936416184971098,0.0,0.0,0.0,2,0,0,5,0.043478260869565216,0.8695652173913043,0.0,0.0,0.0,High,Medium,2,0.034582452229360496,-0.6403817
13,2,Straight,432,red,159.0,40.415585,-28.16,-25.6,0.0775,0.9,0.0,21600,0,1.0,0.0,0,-1,,423,427,430,1,1,2,3,3,14,9,0,7,14,0.03309692671394799,0.6619385342789598,0.7777777777777778,0.0,0.0,8,0,6,8,0.02877697841726619,0.5755395683453237,0.75,0.0,0.0,High,High,1,0.034582452229360496,-0.93490154
14,3,Straight,279,red,128.0,147.63637,28.16,30.72,0.0185,0.1,0.0,13950,1,0.0,1.0,1,-1,,259,263,266,1,1,2,3,6,2,7,0,0,3,0.011583011583011582,0.23166023166023167,0.0,0.0,0.0,7,0,0,2,0.011627906976744186,0.23255813953488372,0.0,0.0,0.0,Low,Low,1,0.011564624769186516,-0.8598495
15,4,Straight,263,green,97.0,236.0,-28.16,30.72,0.0185,0.5,0.0,13150,2,1.0,1.0,1,-1,,232,236,239,2,2,3,1,6,11,6,0,4,2,0.008620689655172414,0.1724137931034483,0.6666666666666666,0.0,0.0,6,0,4,1,0.00625,0.125,0.6666666666666666,0.0,0.0,Low,Medium,2,0.011564624769186516,-0.81345594
16,5,Straight,227,red,97.0,129.55844,28.16,-25.6,0.0775,0.9,0.0,11350,0,0.0,0.0,0,-1,,218,222,225,1,1,2,3,2,3,5,0,4,5,0.022935779816513763,0.45871559633027525,0.8,0.0,0.0,5,0,4,4,0.025,0.5,0.8,0.0,0.0,High,High,1,0.034582452229360496,-0.9546545
17,6,Straight,224,red,97.0,201.09091,28.16,30.72,0.0775,0.1,0.0,11200,0,0.0,1.0,1,-1,,215,219,222,1,1,2,3,4,5,6,0,1,7,0.03255813953488372,0.6511627906976745,0.16666666666666666,0.0,0.0,5,0,0,4,0.025477707006369428,0.5095541401273885,0.0,0.0,0.0,High,Low,1,0.034582452229360496,-0.9359438
18,7,Straight,258,red,128.0,105.402596,-28.16,-25.6,0.0185,0.5,0.0,12900,1,1.0,0.0,0,-1,,238,242,245,1,1,2,3,4,3,6,0,1,3,0.012605042016806723,0.25210084033613445,0.16666666666666666,0.0,0.0,5,0,0,2,0.0125,0.25,0.0,0.0,0.0,Low,Medium,1,0.011564624769186516,-0.84847707
