Timestamp,x,y,r,g,b,vc_bounce,vc_random,cc_bounce,cc_random
0,113.944,92.9,255.0,0.0,0.0,0.0,0.0,0.0,0.0
50,116.76,95.46,255.0,0.0,0.0,0.0,0.0,0.0,0.0
100,119.576,98.02,255.0,0.0,0.0,0.0,0.0,0.0,0.0
150,122.392,100.58,255.0,0.0,0.0,0.0,0.0,0.0,0.0
200,125.208,103.14,255.0,0.0,0.0,0.0,0.0,0.0,0.0
250,128.024,105.7,255.0,0.0,0.0,0.0,0.0,0.0,0.0
300,130.84,108.26,255.0,0.0,0.0,0.0,0.0,0.0,0.0
350,133.656,110.82,255.0,0.0,0.0,0.0,0.0,0.0,0.0
400,136.472,113.38,255.0,0.0,0.0,0.0,0.0,0.0,0.0
450,139.288,115.94,255.0,0.0,0.0,0.0,0.0,0.0,0.0
500,142.104,118.5,255.0,0.0,0.0,0.0,0.0,0.0,0.0
550,144.92,121.06,255.0,0.0,0.0,0.0,0.0,0.0,0.0
600,147.736,123.62,255.0,0.0,0.0,0.0,0.0,0.0,0.0
650,150.552,126.18,255.0,0.0,0.0,0.0,0.0,0.0,0.0
700,153.368,128.74,255.0,0.0,0.0,0.0,0.0,0.0,0.0
750,156.184,131.3,255.0,0.0,0.0,0.0,0.0,0.0,0.0
800,159.0,133.86,255.0,0.0,0.0,0.0,0.0,0.0,0.0
850,161.816,136.42,255.0,0.0,0.0,0.0,0.0,0.0,0.0
900,164.632,138.98,255.0,0.0,0.0,0.0,0.0,0.0,0.0
950,167.448,141.54,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,170.264,144.1,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1050,173.08,146.66,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,175.896,149.22,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1150,178.712,151.78,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,181.528,154.34,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,184.344,156.9,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,187.16,159.46,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1350,189.976,162.02,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,192.792,164.58,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1450,195.608,167.14,255.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,198.424,169.7,255.0,0.0,0.0,0.0,0.0,0.0,0.0
